igdb_id,steam_appid,fetched_at_utc
115,,2026-08-28T05:10:39+00:00
123,,2026-08-28T05:10:39+00:00
380,,2026-08-28T05:10:39+00:00
386,262341,2026-08-28T05:10:39+00:00
386,39210,2026-08-28T05:10:39+00:00
621,2620,2026-08-28T05:10:39+00:00
732,12120,2026-08-28T05:10:39+00:00
732,12250,2026-08-28T05:10:39+00:00
1020,271590,2026-08-28T05:10:39+00:00
1184,1407200,2026-08-28T05:10:39+00:00
1279,,2026-08-28T05:10:39+00:00
1905,,2026-08-28T05:10:39+00:00
2117,221100,2026-08-28T05:10:39+00:00
2256,,2026-08-28T05:10:39+00:00
2903,230410,2026-08-28T05:10:39+00:00
3189,108600,2026-08-28T05:10:39+00:00
3277,252490,2026-08-28T05:10:39+00:00
4006,,2026-08-28T05:10:39+00:00
6292,582660,2026-08-28T05:10:39+00:00
6292,706220,2026-08-28T05:10:39+00:00
7291,594650,2026-08-28T05:10:39+00:00
7360,359550,2026-08-28T05:10:39+00:00
7504,242760,2026-08-28T05:10:39+00:00
8965,262060,2026-08-28T05:10:39+00:00
9596,,2026-08-28T05:10:39+00:00
11198,252950,2026-08-28T05:10:39+00:00
11642,322170,2026-08-28T05:10:39+00:00
12515,,2026-08-28T05:10:39+00:00
15536,3932890,2026-08-28T05:10:39+00:00
17269,,2026-08-28T05:10:39+00:00
18866,381210,2026-08-28T05:10:39+00:00
19698,761890,2026-08-28T05:10:39+00:00
25076,1174180,2026-08-28T05:10:39+00:00
25657,1085660,2026-08-28T05:10:39+00:00
27789,578080,2026-08-28T05:10:39+00:00
33615,438100,2026-08-28T05:10:39+00:00
45517,,2026-08-28T05:10:39+00:00
52189,,2026-08-28T05:10:39+00:00
71001,,2026-08-28T05:10:39+00:00
76760,,2026-08-28T05:10:39+00:00
79824,1343370,2026-08-28T05:10:39+00:00
90099,2221490,2026-08-28T05:10:39+00:00
113049,688130,2026-08-28T05:10:39+00:00
114795,1172470,2026-08-28T05:10:39+00:00
115276,,2026-08-28T05:10:39+00:00
116975,1170970,2026-08-28T05:10:39+00:00
116975,2007020,2026-08-28T05:10:39+00:00
119133,1245620,2026-08-28T05:10:39+00:00
119277,,2026-08-28T05:10:39+00:00
120176,,2026-08-28T05:10:39+00:00
125174,2357570,2026-08-28T05:10:39+00:00
125642,2694490,2026-08-28T05:10:39+00:00
126459,,2026-08-28T05:10:39+00:00
131800,,2026-08-28T05:10:39+00:00
132516,739630,2026-08-28T05:10:39+00:00
135400,,2026-08-28T05:10:39+00:00
151353,1599600,2026-08-28T05:10:39+00:00
151353,1613620,2026-08-28T05:10:39+00:00
151467,2707930,2026-08-28T05:10:39+00:00
151665,1623730,2026-08-28T05:10:39+00:00
159298,1449850,2026-08-28T05:10:39+00:00
171233,1671210,2026-08-28T05:10:39+00:00
174844,3308670,2026-08-28T05:10:39+00:00
174844,3347400,2026-08-28T05:10:39+00:00
178282,,2026-08-28T05:10:39+00:00
185258,1808500,2026-08-28T05:10:39+00:00
191692,1364780,2026-08-28T05:10:39+00:00
191692,1952120,2026-08-28T05:10:39+00:00
197202,1943950,2026-08-28T05:10:39+00:00
204538,2139460,2026-08-28T05:10:39+00:00
217590,1778820,2026-08-28T05:10:39+00:00
262186,2507950,2026-08-28T05:10:39+00:00
279624,1478500,2026-08-28T05:10:39+00:00
294041,2767030,2026-08-28T05:10:39+00:00
298915,2073620,2026-08-28T05:10:39+00:00
301298,1422450,2026-08-28T05:10:39+00:00
317407,2807960,2026-08-28T05:10:39+00:00
329691,4750540,2026-08-28T05:10:39+00:00
340113,2075800,2026-08-28T05:10:39+00:00
347633,2584270,2026-08-28T05:10:39+00:00
348168,2713000,2026-08-28T05:10:39+00:00
348220,3606480,2026-08-28T05:10:39+00:00
348648,3293260,2026-08-28T05:10:39+00:00
349524,3527290,2026-08-28T05:10:39+00:00
353848,3405690,2026-08-28T05:10:39+00:00
378170,4001890,2026-08-28T05:10:39+00:00
391813,4423580,2026-08-28T05:10:39+00:00
400379,3940610,2026-08-28T05:10:39+00:00
406882,4018740,2026-08-28T05:10:39+00:00
408823,4356430,2026-08-28T05:10:39+00:00
410290,3669200,2026-08-28T05:10:39+00:00
