snapshot_hour_utc,appid,rank,last_week_rank,peak_in_game
2026-08-28T01,730,1,1,1277861
2026-08-28T01,570,2,2,839635
2026-08-28T01,578080,3,3,733906
2026-08-28T01,431960,4,4,112483
2026-08-28T01,4001890,5,-1,373971
2026-08-28T01,1172470,6,5,258211
2026-08-28T01,1623730,7,6,166515
2026-08-28T01,271590,8,11,83466
2026-08-28T01,250900,9,9,91766
2026-08-28T01,553850,10,7,69196
2026-08-28T01,2868840,11,12,95574
2026-08-28T01,2767030,12,8,100159
2026-08-28T01,2676230,13,13,175681
2026-08-28T01,381210,14,19,74509
2026-08-28T01,3405690,15,14,77475
2026-08-28T01,359550,16,15,82079
2026-08-28T01,105600,17,24,69698
2026-08-28T01,2357570,18,17,65006
2026-08-28T01,236390,19,18,74440
2026-08-28T01,2807960,20,16,50528
2026-08-28T01,322170,21,21,49630
2026-08-28T01,3527290,22,10,53250
2026-08-28T01,108600,23,20,83433
2026-08-28T01,413150,24,22,91163
2026-08-28T01,1422450,25,23,72927
2026-08-28T01,3240220,26,26,73840
2026-08-28T01,1973530,27,29,37136
2026-08-28T01,230410,28,28,61774
2026-08-28T01,2507950,29,25,107809
2026-08-28T01,252490,30,27,109428
2026-08-28T01,440,31,30,55899
2026-08-28T01,227300,32,37,45862
2026-08-28T01,1091500,33,31,47975
2026-08-28T01,1086940,34,32,58487
2026-08-28T01,550,35,33,31912
2026-08-28T01,438100,36,34,55590
2026-08-28T01,1203220,37,35,66043
2026-08-28T01,322330,38,38,50312
2026-08-28T01,394360,39,40,50719
2026-08-28T01,1938090,40,41,32838
2026-08-28T01,3241660,41,39,26868
2026-08-28T01,3678970,42,36,99223
2026-08-28T01,1174180,43,48,35527
2026-08-28T01,2483190,44,44,24259
2026-08-28T01,284160,45,43,24632
2026-08-28T01,1449850,46,42,19289
2026-08-28T01,1281930,47,47,36366
2026-08-28T01,4000,48,46,32724
2026-08-28T01,1665460,49,45,21914
2026-08-28T01,1245620,50,49,34201
2026-08-28T01,252950,51,51,25098
2026-08-28T01,1142710,52,53,39716
2026-08-28T01,2358720,53,72,45568
2026-08-28T01,3513350,54,62,15049
2026-08-28T01,1364780,55,55,35118
2026-08-28T01,489830,56,52,29692
2026-08-28T01,1222670,57,54,28483
2026-08-28T01,1905180,58,56,31010
2026-08-28T01,261550,59,66,42407
2026-08-28T01,289070,60,59,40043
2026-08-28T01,1808500,61,58,29495
2026-08-28T01,291550,62,61,14063
2026-08-28T01,4704690,63,50,12385
2026-08-28T01,3419430,64,57,160125
2026-08-28T01,2300320,65,64,44885
2026-08-28T01,3472040,66,63,24883
2026-08-28T01,292030,67,95,21565
2026-08-28T01,2073620,68,67,32466
2026-08-28T01,3321460,69,152,19584
2026-08-28T01,251570,70,70,33673
2026-08-28T01,1366800,71,68,39929
2026-08-28T01,1085660,72,65,25199
2026-08-28T01,221100,73,71,48162
2026-08-28T01,945360,74,60,13549
2026-08-28T01,3551340,75,74,47618
2026-08-28T01,1643320,76,-1,35624
2026-08-28T01,714010,77,76,6368
2026-08-28T01,739630,78,86,14597
2026-08-28T01,2584270,79,109,25927
2026-08-28T01,2073850,80,88,16486
2026-08-28T01,244210,81,83,12624
2026-08-28T01,294100,82,78,32011
2026-08-28T01,3932890,83,81,38923
2026-08-28T01,1158310,84,82,25705
2026-08-28T01,960090,85,77,9762
2026-08-28T01,813780,86,85,19844
2026-08-28T01,1329410,87,84,15242
2026-08-28T01,4162040,88,80,9306
2026-08-28T01,2622380,89,89,30413
2026-08-28T01,594650,90,92,22360
2026-08-28T01,238960,91,69,29221
2026-08-28T01,3224770,92,91,12587
2026-08-28T01,629520,93,90,17973
2026-08-28T01,2379780,94,94,8755
2026-08-28T01,2183900,95,87,13974
2026-08-28T01,2142790,96,79,20353
2026-08-28T01,2246340,97,93,20888
2026-08-28T01,1144200,98,96,9048
2026-08-28T01,2139460,99,136,21104
2026-08-28T01,2399830,100,102,27077
