snapshot_hour_utc,game_id,viewers_top100,channels_top100,truncated,share_top1,share_top10,n_languages
2026-08-28T01,509658,312810,92,False,0.0933,0.6126,9
2026-08-28T01,1898040946,66912,100,True,0.554,0.947,10
2026-08-28T01,21779,42406,99,False,0.129,0.6276,10
2026-08-28T01,32982,35216,96,False,0.1111,0.4251,9
2026-08-28T01,18122,47009,98,False,0.2899,0.7504,6
2026-08-28T01,491487,36709,96,False,0.5515,0.7653,9
2026-08-28T01,32399,47984,97,False,0.4218,0.7417,10
2026-08-28T01,491931,47015,100,True,0.7411,0.8679,11
2026-08-28T01,27471,35731,94,False,0.1149,0.6108,6
2026-08-28T01,33214,22588,98,False,0.2652,0.6121,8
2026-08-28T01,460630,35816,100,True,0.8137,0.9516,9
2026-08-28T01,516575,22653,99,False,0.1825,0.5703,9
2026-08-28T01,570615518,33192,98,False,0.7812,0.9054,10
2026-08-28T01,602040818,20853,99,False,0.1558,0.4973,3
2026-08-28T01,513143,27954,100,True,0.3139,0.7846,11
2026-08-28T01,1730141938,29024,1,False,1.0,1.0,1
2026-08-28T01,511224,21340,100,True,0.3962,0.7625,8
2026-08-28T01,1264310518,15984,94,False,0.1689,0.6074,3
2026-08-28T01,29595,21391,99,False,0.1919,0.6602,7
2026-08-28T01,498566,20586,80,False,0.1479,0.6432,8
2026-08-28T01,674491029,16265,99,False,0.1744,0.6629,7
2026-08-28T01,509672,16024,99,False,0.1215,0.5227,11
2026-08-28T01,1867279146,15792,95,False,0.3753,0.7426,10
2026-08-28T01,624536948,14963,100,True,0.472,0.8755,8
2026-08-28T01,458353,15773,31,False,0.8584,0.9964,4
2026-08-28T01,499973,14209,99,False,0.1923,0.5749,5
2026-08-28T01,515025,7262,100,True,0.118,0.425,8
2026-08-28T01,512710,9101,99,False,0.0745,0.485,7
2026-08-28T01,518203,13399,97,False,0.7336,0.9518,8
2026-08-28T01,1702520304,12827,96,False,0.3152,0.9012,10
2026-08-28T01,509659,11514,100,True,0.0939,0.5361,7
2026-08-28T01,493959,9526,97,False,0.7649,0.8633,6
2026-08-28T01,512953,9393,97,False,0.342,0.8191,8
