snapshot_hour_utc,game_id,viewers_top100,channels_top100,truncated,share_top1,share_top10,n_languages
2026-08-28T01,1730141938,29024,1,False,1.0,1.0,1
2026-08-28T01,1820378900,2294,99,False,0.3557,0.8557,8
2026-08-28T01,509658,269157,91,False,0.1204,0.6136,9
2026-08-28T01,1898040946,60422,100,True,0.5075,0.9281,10
2026-08-28T01,32982,34863,97,False,0.1138,0.4303,7
2026-08-28T01,21779,40061,97,False,0.1443,0.6219,10
2026-08-28T01,18122,47051,96,False,0.2942,0.7614,6
2026-08-28T01,491931,52051,98,False,0.779,0.886,10
2026-08-28T01,27471,36877,99,False,0.1224,0.608,6
2026-08-28T01,33214,22359,98,False,0.2434,0.6215,8
2026-08-28T01,516575,22387,100,True,0.1556,0.5442,9
2026-08-28T01,602040818,24844,100,True,0.1349,0.5477,2
2026-08-28T01,32399,29563,100,True,0.2815,0.5849,10
2026-08-28T01,570615518,33738,99,False,0.7524,0.8928,10
2026-08-28T01,30921,30530,97,False,0.7948,0.9416,7
2026-08-28T01,491487,16292,95,False,0.0969,0.5032,9
2026-08-28T01,513143,26510,100,True,0.304,0.7963,10
2026-08-28T01,511224,20450,98,False,0.3659,0.7487,7
2026-08-28T01,1264310518,16405,100,True,0.1645,0.6145,4
2026-08-28T01,29595,21936,98,False,0.1787,0.6765,7
2026-08-28T01,498566,21338,80,False,0.1442,0.6572,8
2026-08-28T01,509672,15214,96,False,0.1343,0.5529,11
2026-08-28T01,674491029,16245,99,False,0.1605,0.6588,7
2026-08-28T01,624536948,14996,94,False,0.5603,0.9059,8
2026-08-28T01,458353,16283,28,False,0.8572,0.9964,4
2026-08-28T01,499973,14523,100,True,0.2055,0.5593,5
2026-08-28T01,515025,7311,99,False,0.1381,0.4347,8
2026-08-28T01,512710,9016,98,False,0.0786,0.5162,6
2026-08-28T01,1867279146,12869,97,False,0.0981,0.5892,9
2026-08-28T01,518203,13285,99,False,0.7302,0.9463,8
2026-08-28T01,1702520304,13089,98,False,0.322,0.9061,10
2026-08-28T01,509659,10655,97,False,0.0841,0.5342,7
2026-08-28T01,512953,9873,100,True,0.301,0.7995,9
2026-08-28T01,19619,8181,100,True,0.1165,0.4321,3
2026-08-28T01,493959,9484,99,False,0.7667,0.8657,6
2026-08-28T01,2132205352,8445,100,True,0.2314,0.7394,5
2026-08-28T01,509660,5593,100,True,0.0853,0.3057,8
2026-08-28T01,460630,6217,100,True,0.299,0.7349,9
2026-08-28T01,27284,8002,100,True,0.2488,0.5395,6
2026-08-28T01,66170,7250,100,True,0.6775,0.8257,6
2026-08-28T01,509663,7641,99,False,0.4331,0.7782,6
2026-08-28T01,2012789438,6438,100,True,0.2398,0.7265,6
2026-08-28T01,138585,7489,88,False,0.2517,0.8148,9
2026-08-28T01,1669431183,6439,98,False,0.1561,0.5335,5
2026-08-28T01,65876,6933,98,False,0.9002,0.9533,7
2026-08-28T01,386821,6517,100,True,0.1674,0.5377,9
2026-08-28T01,24241,4865,100,True,0.1246,0.4943,6
2026-08-28T01,1119642287,6823,100,True,0.4256,0.9021,8
2026-08-28T01,1081998272,5687,100,True,0.4222,0.7403,8
2026-08-28T01,459931,6237,100,True,0.1308,0.6689,4
2026-08-28T01,26936,4431,95,False,0.081,0.3828,8
2026-08-28T01,499003,6159,98,False,0.2931,0.7444,4
2026-08-28T01,670138298,5003,99,False,0.1537,0.6934,2
2026-08-28T01,263490,5818,100,True,0.3255,0.7119,10
2026-08-28T01,464339927,4640,99,False,0.3151,0.6375,9
2026-08-28T01,23020,2926,99,False,0.2358,0.4973,6
2026-08-28T01,13332,5622,98,False,0.1306,0.7038,5
2026-08-28T01,1478650472,5605,100,True,0.8164,0.9486,6
2026-08-28T01,31339,4769,99,False,0.1334,0.5513,7
2026-08-28T01,1036710512,4088,98,False,0.4807,0.704,8
2026-08-28T01,29452,5443,29,False,0.3068,0.8361,3
2026-08-28T01,504463,5287,99,False,0.4112,0.839,8
2026-08-28T01,493057,4546,100,True,0.1916,0.5717,9
2026-08-28T01,499634,5103,100,True,0.2849,0.8164,6
2026-08-28T01,1441208453,3772,100,True,0.1808,0.6068,8
2026-08-28T01,498592,4990,100,True,0.1936,0.6774,14
2026-08-28T01,1832841853,4278,97,False,0.1052,0.5311,9
2026-08-28T01,66082,3961,100,True,0.3095,0.6882,9
2026-08-28T01,513181,4377,96,False,0.5086,0.7875,7
2026-08-28T01,416015,4684,74,False,0.4287,0.8606,10
2026-08-28T01,509511,4545,82,False,0.4836,0.7866,4
2026-08-28T01,65632,4316,98,False,0.2961,0.8005,7
2026-08-28T01,339050343,4362,8,False,0.9555,1.0,4
2026-08-28T01,168648543,3479,100,True,0.2512,0.7062,6
2026-08-28T01,18893,3996,100,True,0.2963,0.8233,5
2026-08-28T01,417528,4027,100,True,0.1296,0.6422,9
2026-08-28T01,982017546,3856,100,True,0.4126,0.6489,5
2026-08-28T01,272263131,3671,99,False,0.2659,0.6854,4
2026-08-28T01,12839,3860,9,False,0.7083,1.0,2
2026-08-28T01,509667,1379,33,False,0.6635,0.9057,3
2026-08-28T01,676802825,2780,100,True,0.1147,0.4939,3
2026-08-28T01,1494,1299,100,True,0.3988,0.612,6
2026-08-28T01,1910103699,3153,100,True,0.5871,0.7812,6
