snapshot_hour_utc,rank,game_id,igdb_id,name
2026-08-28T01,1,509658,,Just Chatting
2026-08-28T01,2,1898040946,378170,How to Fish
2026-08-28T01,3,21779,115,League of Legends
2026-08-28T01,4,32982,1020,Grand Theft Auto V
2026-08-28T01,5,18122,123,World of Warcraft
2026-08-28T01,6,491487,18866,Dead by Daylight
2026-08-28T01,7,32399,,Counter-Strike
2026-08-28T01,8,491931,15536,Escape from Tarkov
2026-08-28T01,9,27471,135400,Minecraft
2026-08-28T01,10,33214,1905,Fortnite
2026-08-28T01,11,460630,7360,Rainbow Six Siege
2026-08-28T01,12,516575,126459,VALORANT
2026-08-28T01,13,570615518,348168,Resonance: A Plague Tale Legacy
2026-08-28T01,14,602040818,408823,NBA 2K27
2026-08-28T01,15,513143,120176,Teamfight Tactics
2026-08-28T01,16,1730141938,281485,NIGHT-RUNNERS PROLOGUE
2026-08-28T01,17,511224,114795,Apex Legends
2026-08-28T01,18,1264310518,294041,Marvel Rivals
2026-08-28T01,19,29595,,Dota 2
2026-08-28T01,20,498566,,Slots
2026-08-28T01,21,674491029,340113,Star Wars Zero Company
2026-08-28T01,22,509672,,IRL
2026-08-28T01,23,1867279146,52189,Grand Theft Auto VI
2026-08-28T01,24,624536948,353848,EA Sports FC 26
2026-08-28T01,25,458353,8965,Darkest Dungeon
2026-08-28T01,26,499973,,Always On
2026-08-28T01,27,515025,125174,Overwatch
2026-08-28T01,28,512710,131800,Call of Duty: Warzone
2026-08-28T01,29,518203,,Sports
2026-08-28T01,30,1702520304,125642,Path of Exile 2
2026-08-28T01,31,509659,,ASMR
2026-08-28T01,32,493959,25076,Red Dead Redemption II
2026-08-28T01,33,512953,119133,ELDEN RING
2026-08-28T01,34,19619,9596,Tibia
2026-08-28T01,35,2132205352,301298,Deadlock
2026-08-28T01,36,509660,,Art
2026-08-28T01,37,27284,,Retro
2026-08-28T01,38,66170,2903,Warframe
2026-08-28T01,39,2012789438,348220,Call of Duty: Black Ops 7
2026-08-28T01,40,509663,,Special Events
2026-08-28T01,41,30921,11198,Rocket League
2026-08-28T01,42,65876,1877,Cyberpunk 2077
2026-08-28T01,43,138585,1279,Hearthstone
2026-08-28T01,44,1081998272,349524,PEAK
2026-08-28T01,45,1119642287,159298,Yu-Gi-Oh! Master Duel
2026-08-28T01,46,386821,6292,Black Desert
2026-08-28T01,47,24241,386,FINAL FANTASY XIV ONLINE
2026-08-28T01,48,459931,79824,Old School RuneScape
2026-08-28T01,49,1669431183,,DJs
2026-08-28T01,50,263490,3277,Rust
2026-08-28T01,51,26936,,Music
2026-08-28T01,52,493057,27789,PUBG: BATTLEGROUNDS
2026-08-28T01,53,464339927,185258,ARC Raiders
2026-08-28T01,54,670138298,400379,Madden NFL 27
2026-08-28T01,55,499003,33615,VRChat
2026-08-28T01,56,23020,17269,ROBLOX
2026-08-28T01,57,1832841853,347633,Mortal Shell II
2026-08-28T01,58,29452,45517,Virtual Casino
2026-08-28T01,59,1036710512,151665,Palworld
2026-08-28T01,60,31339,3189,Project Zomboid
2026-08-28T01,61,1478650472,403310,Call of Duty: Modern Warfare 4
2026-08-28T01,62,504463,90099,Tom Clancy's The Division 2
2026-08-28T01,63,499634,76760,Crypto
2026-08-28T01,64,13332,,Pokémon FireRed/LeafGreen
2026-08-28T01,65,498592,71001,I'm Only Sleeping
2026-08-28T01,66,1441208453,204538,Once Human
2026-08-28T01,67,416015,11708,Hero Siege
2026-08-28T01,68,66082,,Games + Demos
2026-08-28T01,69,513181,119277,Genshin Impact
2026-08-28T01,70,65632,2117,DayZ
2026-08-28T01,71,417752,,Talk Shows & Podcasts
2026-08-28T01,72,417528,19698,Albion Online
2026-08-28T01,73,168648543,317407,Battlefield 6
2026-08-28T01,74,18893,380,Metal Gear Solid 4: Guns of the Patriots
2026-08-28T01,75,272263131,,"Animals, Aquariums, and Zoos"
2026-08-28T01,76,982017546,151467,Palia
2026-08-28T01,77,12839,364,Heroes of Might and Magic III: The Restoration of Erathia
2026-08-28T01,78,339050343,369486,[HERROR] Gas Station Case
2026-08-28T01,79,488190,,Poker
2026-08-28T01,80,500188,7291,Hunt: Showdown 1896
2026-08-28T01,81,27546,1184,World of Tanks
2026-08-28T01,82,1910103699,214417,THE FINALS
2026-08-28T01,83,1253800827,314276,Mafia: The Old Country
2026-08-28T01,84,55453844,191692,Street Fighter 6
2026-08-28T01,85,15229,318,Ragnarok Online
2026-08-28T01,86,676802825,279624,Big Walk
2026-08-28T01,87,1494,621,Call of Duty
2026-08-28T01,88,490655,12515,Pokémon GO
2026-08-28T01,89,518184,132516,Phasmophobia
2026-08-28T01,90,21465,3012,osu!
2026-08-28T01,91,540132929,272713,Yeah! Wow! Hey!
2026-08-28T01,92,852009328,320141,Mistfall Hunter
2026-08-28T01,93,1763844707,400824,Aliens: Fireteam Elite 2
2026-08-28T01,94,1846293708,226035,Fields of Mistria
2026-08-28T01,95,401587136,298915,Arena Breakout: Infinite
2026-08-28T01,96,509511,116975,Marbles on Stream
2026-08-28T01,97,1282866981,262186,Delta Force
2026-08-28T01,98,1820378900,132181,Resident Evil 4
2026-08-28T01,99,512923,119171,Baldur's Gate 3
2026-08-28T01,100,1832641890,387374,MLB The Show 26
