snapshot_hour_utc,game_id,position,user_login,viewer_count,language,started_at
2026-08-28T01,509658,1,2xrakai,29197,en,2026-08-27T23:49:17Z
2026-08-28T01,509658,2,xqc,26196,en,2026-08-27T17:47:50Z
2026-08-28T01,509658,3,jasontheween,23299,en,2026-08-27T18:59:57Z
2026-08-28T01,1898040946,1,tumblurr,37066,it,2026-08-27T17:58:10Z
2026-08-28T01,1898040946,2,jerma985,9272,en,2026-08-27T22:44:32Z
2026-08-28T01,1898040946,3,vinesauce,5065,en,2026-08-27T22:51:54Z
2026-08-28T01,21779,1,loltyler1,5472,en,2026-08-27T20:09:59Z
2026-08-28T01,21779,2,doublelift,4719,en,2026-08-27T20:49:56Z
2026-08-28T01,21779,3,nissaxter,3452,es,2026-08-27T21:32:01Z
2026-08-28T01,32982,1,officermesser,3912,en,2026-08-27T22:53:17Z
2026-08-28T01,32982,2,teegrizzley,2930,en,2026-08-27T18:47:20Z
2026-08-28T01,32982,3,aenot,2075,fr,2026-08-27T17:33:29Z
2026-08-28T01,18122,1,teamliquid,13626,en,2026-08-27T06:40:55Z
2026-08-28T01,18122,2,maximum,12825,en,2026-08-27T16:52:03Z
2026-08-28T01,18122,3,penta,1812,en,2026-08-27T18:33:11Z
2026-08-28T01,491487,1,voertee,20244,en,2026-08-28T00:41:03Z
2026-08-28T01,491487,2,facuuparejas,1509,es,2026-08-27T21:14:49Z
2026-08-28T01,491487,3,ohtofu,1377,en,2026-08-27T22:21:52Z
2026-08-28T01,32399,1,pref1k_,20242,pl,2026-08-28T00:41:03Z
2026-08-28T01,32399,2,strogo,8118,ru,2026-08-27T20:05:45Z
2026-08-28T01,32399,3,oruipinto,1505,pt,2026-08-27T19:59:57Z
2026-08-28T01,491931,1,theburntpeanut,34843,en,2026-08-28T00:10:51Z
2026-08-28T01,491931,2,stankrat,1064,en,2026-08-27T22:38:57Z
2026-08-28T01,491931,3,heyyouvideogame,954,en,2026-08-28T00:43:00Z
2026-08-28T01,27471,1,valkyrae,4107,en,2026-08-27T19:31:31Z
2026-08-28T01,27471,2,fuslie,3294,en,2026-08-27T19:24:19Z
2026-08-28T01,27471,3,cam2r,2944,en,2026-08-27T23:59:55Z
2026-08-28T01,33214,1,faxuty,5991,en,2026-08-27T22:14:28Z
2026-08-28T01,33214,2,aussieantics,3415,en,2026-08-27T21:39:55Z
2026-08-28T01,33214,3,gorilon,1214,es,2026-08-28T01:12:38Z
2026-08-28T01,460630,1,kalil_xtx,29142,pt,2026-08-28T00:41:03Z
2026-08-28T01,460630,2,mingo,2166,en,2026-08-27T17:58:04Z
2026-08-28T01,460630,3,beaulo,835,en,2026-08-27T21:11:01Z
2026-08-28T01,516575,1,johnqtcs,4134,en,2026-08-27T23:02:29Z
2026-08-28T01,516575,2,xarola_,2035,pt,2026-08-27T20:41:09Z
2026-08-28T01,516575,3,melhssn_,1570,fr,2026-08-27T21:25:20Z
2026-08-28T01,570615518,1,zackrawrr,25930,en,2026-08-27T18:07:51Z
2026-08-28T01,570615518,2,dizzykitten,1366,en,2026-08-27T23:04:28Z
2026-08-28T01,570615518,3,streamdatabase,1088,en,2026-08-26T17:52:13Z
2026-08-28T01,602040818,1,joeknowsyt,3248,en,2026-08-27T21:08:45Z
2026-08-28T01,602040818,2,rayasianboy,1907,en,2026-08-27T21:49:58Z
2026-08-28T01,602040818,3,madi2hottyy,1000,en,2026-08-27T21:10:41Z
2026-08-28T01,513143,1,k3soju,8776,en,2026-08-27T14:01:33Z
2026-08-28T01,513143,2,gotaga,3788,fr,2026-08-27T17:24:37Z
2026-08-28T01,513143,3,boxbox,1864,en,2026-08-27T23:44:03Z
2026-08-28T01,1730141938,1,lvcaoabelha,29024,pt,2026-08-28T00:41:05Z
2026-08-28T01,511224,1,imperialhal__,8455,en,2026-08-27T20:58:06Z
2026-08-28T01,511224,2,nicewigg,4483,en,2026-08-27T21:56:41Z
2026-08-28T01,511224,3,sweetdreams,1264,en,2026-08-27T21:00:15Z
2026-08-28T01,1264310518,1,jay3,2700,en,2026-08-27T17:11:06Z
2026-08-28T01,1264310518,2,kingsman265_twitch,2062,en,2026-08-28T00:08:50Z
2026-08-28T01,1264310518,3,aramori,917,en,2026-08-27T21:32:08Z
2026-08-28T01,29595,1,mellstroy,4106,ru,2026-08-27T22:54:44Z
2026-08-28T01,29595,2,judah_xx,2781,en,2026-08-27T21:10:26Z
2026-08-28T01,29595,3,masondota2,2099,en,2026-08-27T21:03:24Z
2026-08-28T01,498566,1,grumpybets00,3045,en,2026-08-28T00:00:41Z
2026-08-28T01,498566,2,synare35,2174,en,2026-08-27T09:45:32Z
2026-08-28T01,498566,3,hojuxohip,2169,pt,2026-08-27T09:45:33Z
2026-08-28T01,674491029,1,barbarousking,2837,en,2026-08-27T23:04:20Z
2026-08-28T01,674491029,2,strippin,2514,en,2026-08-27T15:07:00Z
2026-08-28T01,674491029,3,sacriel,917,en,2026-08-27T16:04:44Z
2026-08-28T01,509672,1,funnymike,1947,en,2026-08-27T20:06:36Z
2026-08-28T01,509672,2,cooksux,1348,en,2026-08-27T20:37:46Z
2026-08-28T01,509672,3,renekreher,1172,de,2026-08-27T13:40:31Z
2026-08-28T01,1867279146,1,marlon,5926,en,2026-08-27T22:34:27Z
2026-08-28T01,1867279146,2,joblessgarrett,1279,en,2026-08-27T18:02:19Z
2026-08-28T01,1867279146,3,bobbyraygray,791,en,2026-08-27T22:54:26Z
