snapshot_hour_utc,game_id,name,is_game,rank,viewers_top100,channels_top100,share_top1,v_short,v_day,c_short,flags,score,components,steam_appid
2026-08-28T05,263490,Rust,True,11,19818,95,0.6081,1.2407005800671072,,-0.05129329438755058,,4.044,channel_growth_short=-0.08;rank_climb=+1.64;steam_growth=+0.00;viewer_growth_short=+2.48,252490
2026-08-28T05,511399,Super Mario Maker 2,True,24,13346,9,0.883,,,,ENTRY IGNITION:indegnasen0706,2.5,entry_short=+1.50;ignition=+1.00,
2026-08-28T05,11456,Super Mario Strikers,True,68,3416,1,1.0,,,,ENTRY IGNITION:elcamacho24,2.5,entry_short=+1.50;ignition=+1.00,
2026-08-28T05,2397,Halo: Combat Evolved,True,35,6295,7,0.7978,,,,ENTRY IGNITION:cdawg,2.5,entry_short=+1.50;ignition=+1.00,
2026-08-28T05,55453844,Street Fighter 6,True,49,3948,100,0.4326,0.33824685997958137,,0.0,,2.236,channel_growth_short=+0.00;rank_climb=+1.56;steam_growth=+0.00;viewer_growth_short=+0.68,1364780
2026-08-28T05,498592,I'm Only Sleeping,True,33,6506,100,0.2129,0.29168639013875725,,0.0,,1.783,channel_growth_short=+0.00;rank_climb=+1.20;viewer_growth_short=+0.58,
2026-08-28T05,29452,Virtual Casino,True,30,8725,27,0.2477,0.4421766509469554,,-0.13815033848081718,,1.717,channel_growth_short=-0.21;rank_climb=+1.04;viewer_growth_short=+0.88,
2026-08-28T05,213930085,Honkai: Star Rail,True,94,1552,87,0.5335,,,,ENTRY,1.5,entry_short=+1.50,
2026-08-28T05,24226,Metal Gear Solid: Peace Walker,True,100,561,20,0.8182,,,,ENTRY,1.5,entry_short=+1.50,
2026-08-28T05,937636808,Hapunan,True,2,57081,1,1.0,,,,ENTRY,1.5,entry_short=+1.50,4750540
2026-08-28T05,1771721043,"OOC, The Playable Anime",False,86,1880,3,0.8372,,,,ENTRY,1.5,entry_short=+1.50,
2026-08-28T05,2059463486,Waterpark Simulator,True,2,69157,58,0.8522,,,,ENTRY,1.5,entry_short=+1.50,3293260
2026-08-28T05,1033687757,Metal Gear Solid: The Twin Snakes,True,80,2346,1,1.0,,,,ENTRY,1.5,entry_short=+1.50,
2026-08-28T05,511229,Pogostuck: Rage With Your Friends,True,83,1849,11,0.3959,,,,ENTRY,1.5,entry_short=+1.50,688130
2026-08-28T05,1042236765,GIRLS' FRONTLINE 2: EXILIUM,True,82,1871,8,0.5943,,,,ENTRY,1.5,entry_short=+1.50,3308670
2026-08-28T05,19441,The Lord of the Rings: The Two Towers,True,79,2040,1,1.0,,,,ENTRY,1.5,entry_short=+1.50,
2026-08-28T05,1851682118,Frenzy!,True,73,2475,1,1.0,,,,ENTRY,1.5,entry_short=+1.50,
